City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yuzhno-kurilsk,44.0306,145.8556,19.35,100,100,3.79,RU,1691597494
83,nova sintra,14.8667,-24.7167,22.91,72,26,6.2,CV,1691597494
84,montepuez,-13.1256,38.9997,24.03,29,39,1.95,MZ,1691597494
85,matipo,-20.2839,-42.3411,22.27,59,96,0.93,BR,1691597494
86,ushuaia,-54.8,-68.3,4.88,89,100,3.99,AR,1691597494
87,qaqortoq,60.7167,-46.0333,7.98,68,25,3.19,GL,1691597494
88,flying fish cove,-10.4217,105.6791,23.82,88,75,6.17,CX,1691597494
89,shaumiani,41.3527,44.7618,33.9,44,0,1.33,GE,1691597494
90,karratha,-20.7377,116.8463,21.24,66,0,1.12,AU,1691597495
91,la'ie,21.6477,-157.9253,25.98,76,30,3.13,US,1691597495
92,ruteng,-8.6136,120.4721,14.13,91,47,0.46,ID,1691597495
93,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,5.14,EC,1691597495
94,amble,55.3333,-1.5833,19.77,59,100,2.57,GB,1691597495
95,jinghong,21.991,100.7341,21.91,99,100,0.81,CN,1691597495
96,dunedin,-45.8742,170.5036,3.22,73,78,3.13,NZ,1691597495
97,ar rutbah,33.0381,40.2848,37.45,10,0,3.85,IQ,1691597496
98,nagqu,31.5,92.0,9.75,67,91,2.32,CN,1691597496
99,zaragoza,41.6561,-0.8773,38.58,27,0,3.6,ES,1691597496
100,chilecito,-29.1619,-67.4974,18.8,24,75,1.37,AR,1691597496
101,craig,40.5153,-107.5464,16.97,48,0,1.54,US,1691597496
102,ust-nera,64.5667,143.2,12.08,77,38,1.76,RU,1691597496
103,gadzhiyevo,69.2551,33.3362,23.93,62,2,1.89,RU,1691597496
104,nar'yan-mar,67.6713,53.087,17.16,68,56,2.98,RU,1691597496
105,sabang,5.8933,95.3214,27.96,77,97,6.81,ID,1691597497
106,yelizovo,53.1873,158.3805,12.84,76,100,4.02,RU,1691597497
107,sanctuary point,-35.1114,150.629,13.51,72,70,3.12,AU,1691597497
108,susuman,62.7833,148.1667,2.78,96,42,1.19,RU,1691597497
109,tazovsky,67.4667,78.7,8.05,86,99,7.21,RU,1691597497
110,bria,6.5423,21.9863,22.03,95,100,1.09,CF,1691597497
111,harar,9.3094,42.1258,17.94,74,95,2.56,ET,1691597248
112,hamilton,39.1834,-84.5333,28.74,74,75,5.81,US,1691597465
113,sarmiento,-45.5882,-69.07,12.5,60,100,6.81,AR,1691597498
114,georgetown,5.4112,100.3354,28.96,79,20,0.0,MY,1691597304
115,invercargill,-46.4,168.35,1.12,93,91,1.79,NZ,1691597498
116,talnakh,69.4865,88.3972,18.45,56,69,4.9,RU,1691597498
117,kincardine,56.0667,-3.7167,21.58,69,87,3.88,GB,1691597498
118,sidi bel abbes,35.1899,-0.6309,29.5,23,2,5.79,DZ,1691597498
119,mount gambier,-37.8333,140.7667,8.83,89,52,4.82,AU,1691597498
120,longyearbyen,78.2186,15.6401,9.91,76,0,4.63,SJ,1691597498
121,afaahiti,-17.75,-149.2833,21.93,73,97,7.4,PF,1691597499
122,west island,-12.1568,96.8225,24.99,83,40,5.14,CC,1691597499
123,port elizabeth,-33.918,25.5701,17.83,77,40,8.75,ZA,1691597504
124,kapuskasing,49.4169,-82.4331,19.05,77,75,3.6,CA,1691597504
125,el porvenir,13.7617,-87.3458,27.63,41,26,1.25,HN,1691597504
126,happy valley-goose bay,53.3168,-60.3315,17.17,88,100,1.54,CA,1691597504
127,belousovka,50.1339,82.5239,16.12,67,17,1.52,KZ,1691597504
128,san jose de jachal,-30.2406,-68.7469,19.1,21,3,2.45,AR,1691597504
129,terme,41.2092,36.9739,24.96,74,62,1.91,TR,1691597505
130,scottburgh,-30.2867,30.7532,18.73,74,90,3.17,ZA,1691597505
131,geraldton,-28.7667,114.6,9.23,87,6,2.06,AU,1691597493
132,hadibu,12.65,54.0333,25.61,80,93,7.55,YE,1691597505
133,bulungu,-4.55,18.6,34.33,28,83,1.06,CD,1691597505
134,howard springs,-12.497,131.047,23.95,78,90,1.58,AU,1691597505
135,ilulissat,69.2167,-51.1,11.01,50,20,2.57,GL,1691597505
136,codrington,-38.2667,141.9667,10.7,84,96,8.15,AU,1691597506
137,roosevelt,33.9668,-103.4505,28.12,22,53,8.27,US,1691597238
138,santa cruz del sur,20.7147,-77.9956,31.9,62,84,7.01,CU,1691597506
139,kodiak,57.79,-152.4072,11.73,100,100,1.54,US,1691597506
140,margate,51.3813,1.3862,22.15,64,59,4.92,GB,1691597506
141,valle aurina - ahrntal,46.9962,11.9799,16.81,82,100,2.87,IT,1691597506
142,libreville,0.3925,9.4537,25.86,72,66,4.89,GA,1691597506
143,nizhnesortymskiy,62.4397,71.7603,12.87,55,41,5.71,RU,1691597506
144,oltinko'l,40.8011,72.1634,30.69,20,0,2.1,UZ,1691597506
145,iqaluit,63.7506,-68.5145,4.83,86,100,5.14,CA,1691597507
146,lompoc,34.6391,-120.4579,18.29,85,100,0.0,US,1691597507
147,south hedland,-20.4089,118.5983,17.96,52,0,1.54,AU,1691597507
148,polyarnyy,69.1989,33.4478,23.78,62,1,1.68,RU,1691597507
149,lijiang,26.8688,100.2207,16.15,94,71,0.52,CN,1691597507
150,omaruru,-21.4333,15.9333,24.87,23,97,6.0,NA,1691597507
151,mugia,43.1041,-9.2179,24.95,85,80,8.18,ES,1691597507
152,oranjemund,-28.55,16.4333,21.75,41,0,5.29,NA,1691597508
153,gilgit,35.9221,74.3087,29.97,40,13,0.23,PK,1691597508
154,bayanaul,50.7889,75.6956,22.24,40,82,2.39,KZ,1691597508
